 Timestamp, Code
 06/07/26 12:40:19 , LWM2M: Request: 9   : 0   : 1  Type: 10  Status: 0  
 06/07/26 12:40:19 , LWM2M: Request: 10377   : 0   : 3  Type: 10  Status: 0  
 06/07/26 12:40:19 , LWM2M: Request: 10376   : 1   : 6  Type: 10  Status: 0  
 06/07/26 12:40:19 , LWM2M: Request: 9   : 0   : 7  Type: 10  Status: 0  
 06/07/26 12:40:20 , LWM2M: Request: 9   : 0   : 9  Type: 10  Status: 0  
 06/07/26 12:40:22 , NBIT: Temp(C): 32  Volt(mV): 3007  Modem Error: 5  
 06/07/26 12:40:22 , NBIT: Temp(C): 32  Volt(mV): 3007  Modem Power State: 2  
 06/07/26 12:40:26 , NBIT: Cereg: 2  
 06/07/26 12:40:29 , NBIT: Cereg: 1  
 06/07/26 12:40:33 , NBIT: Cereg: 1  
 06/07/26 12:40:34 , NBIT: SINR: 0  RSSI: 19  
 06/07/26 12:40:48 , NBIT: Transmission: 27840  
 06/07/26 12:40:48 , LWM2M: Request: 10377   : 0   : 3  Type: 10  Status: 0  
 06/07/26 12:40:48 , NBIT: Earfcn: 1391  
 06/07/26 12:40:48 , NBIT: Pci: 5  EarfcnOffset: 1  
 06/07/26 12:40:48 , NBIT: Cell ID: 0966C149  
 06/07/26 12:40:48 , NBIT: RSRQ: 65529  RSRP: 65454  
 06/07/26 12:40:48 , NBIT: SINR: 15  RSSI: 65461  
 06/07/26 12:40:48 , NBIT: TAC: 6182  Band: 3  
 06/07/26 12:40:48 , NBIT: Opr Mode: 2  Tx Power: 90  ECL: 0  
 06/07/26 12:40:48 , NBIT: Sleep Duration: 0  
 06/07/26 12:40:48 , NBIT: Rx Time(s): 94  
 06/07/26 12:40:48 , NBIT: Tx Time(s): 3  
 06/07/26 12:40:48 , LWM2M: Request: 10376   : 0   : 6  Type: 10  Status: 1  
 06/07/26 12:40:48 , LWM2M: Request: 9   : 0   : 1  Type: 10  Status: 1  
 06/07/26 12:40:49 , LWM2M: Request: 10376   : 1   : 6  Type: 10  Status: 1  
 06/07/26 12:40:49 , LWM2M: Request: 9   : 0   : 7  Type: 10  Status: 1  
 06/07/26 12:40:49 , LWM2M: Observe: 10377   : 0   : 3  Status: 0  Index: 0  
 06/07/26 12:40:49 , NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState   
 06/07/26 12:40:49 , LWM2M: Request: 9   : 0   : 9  Type: 10  Status: 0  
 06/07/26 12:40:54 , NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState   
 06/07/26 12:40:59 , NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState   
 06/07/26 12:40:59 , NBIT: Temp(C): 32  Volt(mV): 3007  Modem Power State: 1  
 06/07/26 12:41:04 , NBIT: Temp(C): 32  Volt(mV): 3007  Modem Error: 4  
 06/07/26 12:41:04 , LWM2M: Observe: 9   : 0   : 1  Status: 0  Index: 0  
 06/07/26 12:41:04 , NBIT: Modem Disabled. Restart Time: 07/07/26 12:41:04  
 06/07/26 12:41:04 , NBIT: Temp(C): 32  Volt(mV): 3007  Modem Power State: 2  
 06/07/26 12:41:06 , NBIT: Cereg: 0  
 06/07/26 12:41:06 , NBIT: Temp(C): 32  Volt(mV): 3007  Modem Power State: 0  
 06/07/26 12:41:31 , FLSV: MCU Reset> Software Watchdog: 0802F4D6  
 06/07/26 12:41:31 , FLSV: Task Sleep Status Bitmap: NBIOT_TaskId NBIOT_GKCOAP_TaskId NBIOT_LWOBJ_TaskId   
 06/07/26 12:41:33 , NBIT: Temp(C): 32  Volt(mV): 2998  Modem Power State: 2  
 06/07/26 12:41:34 , LWM2M: Reading Next Run Time: 06/07/26 01:00:00  
 06/07/26 12:41:34 , LWM2M: Reading Next Dispatch Time: 07/07/26 02:19:01  
 06/07/26 12:41:34 , LWM2M: Status Next Run Time: 06/07/26 01:00:00  
 06/07/26 12:41:34 , LWM2M: Status Next Dispatch Time: 07/07/26 02:19:01  
 06/07/26 12:41:34 , LWM2M: Query Next Run Time: 07/07/26 12:00:00  
 06/07/26 12:41:34 , LWM2M: Query Next Dispatch Time: 07/07/26 02:19:01  
 06/07/26 12:41:34 , SNSR: Temp(C): 32  Volt(mV): 2998  
 06/07/26 12:41:34 , SNSR: Average Current (uA): 4718.75  
 06/07/26 12:41:37 , NBIT: Cereg: 2  
 06/07/26 12:41:40 , NBIT: Cereg: 1  
 06/07/26 12:41:43 , NBIT: Cereg: 1  
 06/07/26 12:41:45 , NBIT: SINR: 0  RSSI: 19  
 06/07/26 12:41:51 , NBIT: Temp(C): 32  Volt(mV): 2998  Modem Power State: 1  
 06/07/26 12:41:56 , NBIT: Temp(C): 32  Volt(mV): 2998  Modem Power State: 2  
 06/07/26 12:42:05 , LWM2M: Request: 10376   : 0   : 6  Type: 10  Status: 0  
 06/07/26 12:42:06 , NBIT: Earfcn: 1391  
 06/07/26 12:42:06 , NBIT: Pci: 5  EarfcnOffset: 1  
 06/07/26 12:42:06 , NBIT: Cell ID: 0966C149  
 06/07/26 12:42:06 , NBIT: RSRQ: 65529  RSRP: 65455  
 06/07/26 12:42:06 , NBIT: SINR: 14  RSSI: 65462  
 06/07/26 12:42:06 , NBIT: TAC: 6182  Band: 3  
 06/07/26 12:42:06 , NBIT: Opr Mode: 2  Tx Power: 50  ECL: 0  
 06/07/26 12:42:06 , NBIT: Sleep Duration: 0  
 06/07/26 12:42:06 , NBIT: Rx Time(s): 91  
 06/07/26 12:42:06 , NBIT: Tx Time(s): 3  
 06/07/26 12:42:06 , LWM2M: Request: 10377   : 0   : 3  Type: 10  Status: 0  
 06/07/26 12:42:06 , LWM2M: Request: 10376   : 1   : 6  Type: 10  Status: 0  
 06/07/26 12:42:06 , LWM2M: Request: 9   : 0   : 1  Type: 10  Status: 0  
 06/07/26 12:42:07 , LWM2M: Request: 9   : 0   : 9  Type: 10  Status: 0  
 06/07/26 12:42:07 , LWM2M: Request: 9   : 0   : 7  Type: 10  Status: 0  
 06/07/26 12:42:08 , LWM2M: Observe: 10376   : 0   : 6  Status: 0  Index: 0  
 06/07/26 12:42:10 , LWM2M: Observe: 10377   : 0   : 3  Status: 0  Index: 0  
 06/07/26 12:42:11 , LWM2M: Observe: 10376   : 1   : 6  Status: 0  Index: 0  
 06/07/26 12:42:13 , LWM2M: Observe: 9   : 0   : 1  Status: 0  Index: 0  
 06/07/26 12:42:14 , LWM2M: Observe: 9   : 0   : 9  Status: 0  Index: 0  
 06/07/26 12:42:14 , NBIT: Transmission: 27850  
 06/07/26 12:42:15 , LWM2M: Observe: 9   : 0   : 7  Status: 0  Index: 0  
 06/07/26 12:42:24 , NBIT: Temp(C): 32  Volt(mV): 2998  Modem Power State: 1  
 06/07/26 12:42:24 , LWM2M: Notify: 9   : 0   : 1  Status: 1  Ack: 2  
 06/07/26 12:42:37 , NBIT: Lwm2m Recovered: 10  
 06/07/26 12:42:37 , NBIT: Temp(C): 32  Volt(mV): 2998  Modem Power State: 2  
 06/07/26 12:42:38 , NBIT: Cereg: 0  
 06/07/26 12:42:39 , NBIT: Cereg: 2  
 06/07/26 12:42:41 , NBIT: Cereg: 1  
 06/07/26 12:42:42 , NBIT: Cereg: 1  
 06/07/26 12:42:47 , NBIT: SINR: 0  RSSI: 19  
